"","companyName","marketcap","week52high","week52low","week52highSplitAdjustOnly","week52lowSplitAdjustOnly","week52change","sharesOutstanding","float","avg10Volume","avg30Volume","day200MovingAvg","day50MovingAvg","employees","ttmEPS","ttmDividendRate","dividendYield","nextDividendDate","exDividendDate","nextEarningsDate","peRatio","beta","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","symbol"
"1","American Airlines Group Inc",9101224840,26.09,12.44,26.09,12.44,-0.400085579803167,649160117,0,74613594,51812015,18.6,16.56,2018,-3.09,0,0,NA,NA,2022-04-21,-4.56659550443552,1.59531833145351,-0.396688240154227,-0.670244893735123,0.0423791821561339,-0.400085579803167,-0.219376391982183,-0.260158311345646,-0.221543586896169,-0.203861442362294,-0.250668091929449,-0.0390678546949966,"AAL"
"2","Applied Optoelectronics Inc",94903290,9.25,3.34,9.25,3.34,-0.614525139664804,27508200,0,255313,466099,5.73,3.85,2682,-2.01,0,0,NA,NA,2022-05-05,-1.75221169823862,1.1038043342874,-0.653614457831325,-0.932246661429694,-0.392605633802817,-0.614525139664804,-0.328793774319066,-0.535666218034993,-0.403114186851211,-0.0944881889763779,-0.122137404580153,0.0117302052785924,"AAOI"
"3","AAON Inc.",2828178589,83.79,52.55,83.79,52.55,-0.27697576042436,52529320,0,212029,244929,69.12,58.96,2268,1.09,0.379539461485445,0.00704939564423189,NA,2021-11-24,2022-05-05,48.132655788148,0.825741022119545,6.85801856500671,0.574609710873113,0.319860169346101,-0.27697576042436,-0.32217046455999,-0.170573219559313,-0.328510850586181,-0.0837304288631722,-0.078397808969531,-0.00883652430044179,"AAON"
"4","Apple Inc",2525107105930,182.71,118.16,182.94,118.86,0.286041878437334,16319441000,0,100858960,90441739,159.65,166.54,147000,6.02,0.878191422168818,0.00567563770547933,NA,2022-02-04,2022-04-28,25.1117011180946,1.25973751502797,58.6376951243014,3.71125915731398,1.52759477459435,0.286041878437334,-0.127515378295641,0.0415068024738226,-0.136655884862157,-0.0824833965844403,-0.10103416221241,-0.0517251945823374,"AAPL"
"5","Atlas Air Worldwide Holdings Inc.",2353613834,97.13,53.36,97.13,53.36,0.34550282110853,29028291,0,640121,755154,82.43,78.79,4061,16.15,0,0,NA,NA,2022-05-05,4.7709968119485,0.956351471775928,0.822022471910112,0.493186003683241,3.93938470910752,0.34550282110853,-0.138546536336592,0.0953796271278034,-0.0701834862385322,0.0608399842993588,0.0360337337081522,-0.0155415250121418,"AAWW"
"6","Ameris Bancorp",3331252111,59.33,43.92,59.85,43.92,-0.128016195808787,69676890,0,586119,424186,50.5,49.02,2671,5.4,0.597365704723639,0.012494576547242,NA,2021-12-30,NA,8.83825209239267,1.11367695888859,0.956307362442663,0.115718776326506,1.05737941243551,-0.128016195808787,-0.0376409017713365,0.0333253364629196,-0.0253419253829014,-0.0515770680420551,-0.0570019723865878,0.0222364763737439,"ABCB"
"7","Abiomed Inc.",13053590998,379.3,261.27,379.3,261.27,-0.0552133091747652,45516200,0,236753,309531,330.05,301.6,1725,2.91,0,0,NA,NA,2022-04-28,98.1207417390781,1.39529560843873,19.3397163120567,1.36605890603086,1.09381616412353,-0.0552133091747652,-0.201520171506529,-0.206007751937984,-0.0628696533019637,-0.0272369581439521,-0.0661652176744488,-0.0858408772153513,"ABMD"
"8","Airbnb Inc",87439302720,215.49,129.71,215.49,129.71,-0.297958788816872,371167573,0,7344167,8397079,167.66,156.14,5597,-0.5716,0,0,NA,NA,2022-05-12,-248.383118448786,1.54443279934171,0.00297146016170257,0.00297146016170257,0.00297146016170257,-0.297958788816872,-0.128235930085891,-0.121428571428571,-0.195543731293648,-0.128445325166637,-0.155917417854027,0.0170988086895585,"ABNB"
"9","Allegiance Bancshares Inc",906545496,45.79,33.98,45.94,34.3,0.0533515084391181,20367232,0,64129,61773,40.78,43.08,598,4.01,0.497750928082557,0.011182901102731,NA,2022-02-25,2022-04-28,11.1160287950167,0.700401356321865,0.9813042510572,0.2532873804013,0.868229190713839,0.0533515084391181,0.0580186930105635,0.272284996412677,0.105692914970203,0.0471019436432842,0.0512939820446263,0.0201696080678431,"ABTX"
"10","Arbutus Biopharma Corp",432547452,6.5,2.38,6.5,2.38,-0.232189973614776,148641736,0,2177211,2599262,3.63,3,77,-0.8319,0,0,NA,NA,2022-05-04,-4.89384576471387,0.672727220461964,2.12097812097812,0.0777777777777777,0.25974025974026,-0.232189973614776,-0.251928020565553,-0.335616438356164,-0.297101449275362,-0.0791139240506329,-0.101851851851852,0.0355871886120998,"ABUS"
