"","changePercent","change","label","fVolume","fLow","fHigh","fClose","fOpen","uVolume","uLow","uHigh","uClose","uOpen","marketChangeOverTime","changeOverTime","updated","date","subkey","key","id","volume","symbol","open","low","high","close"
"1",0,0,"Dec 31, 21",2045095,24.48,24.93,24.54,24.69,2045095,24.48,24.93,24.54,24.69,0,0,1647302657300.89,2021-12-31,NA,"DBX","HISTORICAL_PRICES",2045095,"DBX",24.69,24.48,24.93,24.54
"2",0,0,"Dec 31, 20",5112798,22.035,22.8,22.19,22.78,5112798,22.035,22.8,22.19,22.78,0,0,1647302657296.88,2020-12-31,NA,"DBX","HISTORICAL_PRICES",5112798,"DBX",22.78,22.035,22.8,22.19
"3",0,0,"Dec 31, 19",2817651,17.51,18.03,17.91,17.51,2817651,17.51,18.03,17.91,17.51,0,0,1647302657307.77,2019-12-31,NA,"DBX","HISTORICAL_PRICES",2817651,"DBX",17.51,17.51,18.03,17.91
"4",0,0,"Dec 31, 18",3862627,20.1,21.18,20.43,20.97,3862627,20.1,21.18,20.43,20.97,0,0,1647302657299.42,2018-12-31,NA,"DBX","HISTORICAL_PRICES",3862627,"DBX",20.97,20.1,21.18,20.43
"5",0,0,"May 3, 21",216515,6.18,6.35,6.33,6.2,216515,6.18,6.35,6.33,6.2,0,0,1647302657305.46,2021-05-03,NA,"DAKT","HISTORICAL_PRICES",216515,"DAKT",6.2,6.18,6.35,6.33
"6",0,0,"Apr 27, 20",241064,4.33,4.5,4.43,4.34,241064,4.33,4.5,4.43,4.34,0,0,1647302657296.13,2020-04-27,NA,"DAKT","HISTORICAL_PRICES",241064,"DAKT",4.34,4.33,4.5,4.43
"7",0,0,"Apr 29, 19",62623,7.0672,7.2415,7.2318,7.0672,62623,7.3,7.48,7.47,7.3,0,0,1647302657299.42,2019-04-29,NA,"DAKT","HISTORICAL_PRICES",62623,"DAKT",7.3,7.3,7.48,7.47
"8",0,0,"Apr 30, 18",123879,8.348,8.5068,8.4227,8.4507,123879,8.9301,9.1,9.01,9.04,0,0,1647302657306.16,2018-04-30,NA,"DAKT","HISTORICAL_PRICES",123879,"DAKT",9.04,8.9301,9.1,9.01
"9",0,0,"May 2, 17",137473,8.457,8.6385,8.5659,8.457,137473,9.32,9.52,9.44,9.32,0,0,1647302657296.88,2017-05-02,NA,"DAKT","HISTORICAL_PRICES",137473,"DAKT",9.32,9.32,9.52,9.44
"10",0,0,"Dec 31, 21",1082595,92.11,94.16,93.53,92.96,1082595,92.11,94.16,93.53,92.96,0,0,1647302657310.58,2021-12-31,NA,"CZR","HISTORICAL_PRICES",1082595,"CZR",92.96,92.11,94.16,93.53
"11",0,0,"Dec 31, 20",1313485,72.69,75.53,74.27,73.73,1313485,72.69,75.53,74.27,73.73,0,0,1647302657317.09,2020-12-31,NA,"CZR","HISTORICAL_PRICES",1313485,"CZR",73.73,72.69,75.53,74.27
"12",0,0,"Dec 31, 19",1656596,58.86,59.92,59.64,58.86,1656596,58.86,59.92,59.64,58.86,0,0,1647302657317.09,2019-12-31,NA,"CZR","HISTORICAL_PRICES",1656596,"CZR",58.86,58.86,59.92,59.64
"13",0,0,"Dec 31, 18",813825,34.76,36.7,36.21,36.08,813825,34.76,36.7,36.21,36.08,0,0,1647302657300.21,2018-12-31,NA,"CZR","HISTORICAL_PRICES",813825,"CZR",36.08,34.76,36.7,36.21
"14",0,0,"Jan 2, 18",1157328,31.2,33.3,31.65,33.3,1157328,31.2,33.3,31.65,33.3,0,0,1647302657305.46,2018-01-02,NA,"CZR","HISTORICAL_PRICES",1157328,"CZR",33.3,31.2,33.3,31.65
"15",0,0,"Dec 31, 21",23332,25.6225,26.1663,25.8301,25.9092,23332,25.91,26.46,26.12,26.2,0,0,1647302657307.13,2021-12-31,NA,"CZNC","HISTORICAL_PRICES",23332,"CZNC",26.2,25.91,26.46,26.12
"16",0,0,"Dec 31, 20",26526,18.1911,18.8139,18.7195,18.2572,26526,19.28,19.94,19.84,19.35,0,0,1647302657303.45,2020-12-31,NA,"CZNC","HISTORICAL_PRICES",26526,"CZNC",19.35,19.28,19.94,19.84
"17",0,0,"Dec 31, 19",17382,24.6234,25.5162,25.2216,24.6234,17382,27.58,28.58,28.25,27.58,0,0,1647302657300.61,2019-12-31,NA,"CZNC","HISTORICAL_PRICES",17382,"CZNC",27.58,27.58,28.58,28.25
"18",0,0,"Dec 31, 18",26439,21.7946,23.0278,22.6339,21.7946,26439,25.45,26.89,26.43,25.45,0,0,1647302657296.88,2018-12-31,NA,"CZNC","HISTORICAL_PRICES",26439,"CZNC",25.45,25.45,26.89,26.43
"19",0,0,"Jan 2, 18",10078,19.6628,20.0731,19.7448,19.8433,10078,23.96,24.46,24.06,24.18,0,0,1647302657310.58,2018-01-02,NA,"CZNC","HISTORICAL_PRICES",10078,"CZNC",24.18,23.96,24.46,24.06
"20",0,0,"Dec 31, 21",675066,45.23,47.04,45.58,45.42,675066,45.23,47.04,45.58,45.42,0,0,1647302657305.46,2021-12-31,NA,"CYTK","HISTORICAL_PRICES",675066,"CYTK",45.42,45.23,47.04,45.58
"21",0,0,"Dec 31, 20",786589,20.16,21.09,20.78,20.31,786589,20.16,21.09,20.78,20.31,0,0,1647302657307.77,2020-12-31,NA,"CYTK","HISTORICAL_PRICES",786589,"CYTK",20.31,20.16,21.09,20.78
"22",0,0,"Dec 31, 19",618546,10.17,10.73,10.61,10.25,618546,10.17,10.73,10.61,10.25,0,0,1647302657294.81,2019-12-31,NA,"CYTK","HISTORICAL_PRICES",618546,"CYTK",10.25,10.17,10.73,10.61
"23",0,0,"Dec 31, 18",317368,6.15,6.36,6.32,6.18,317368,6.15,6.36,6.32,6.18,0,0,1647302657300.61,2018-12-31,NA,"CYTK","HISTORICAL_PRICES",317368,"CYTK",6.18,6.15,6.36,6.32
"24",0,0,"Jan 2, 18",378305,8.1,8.85,8.75,8.15,378305,8.1,8.85,8.75,8.15,0,0,1647302657300.61,2018-01-02,NA,"CYTK","HISTORICAL_PRICES",378305,"CYTK",8.15,8.1,8.85,8.75
"25",0,0,"Dec 31, 21",247390,172.08,177.14,173.28,175.92,247390,172.08,177.14,173.28,175.92,0,0,1647302657303.09,2021-12-31,NA,"CYBR","HISTORICAL_PRICES",247390,"CYBR",175.92,172.08,177.14,173.28
"26",0,0,"Dec 31, 20",227071,159.68,162.43,161.59,161.79,227071,159.68,162.43,161.59,161.79,0,0,1647302657296.88,2020-12-31,NA,"CYBR","HISTORICAL_PRICES",227071,"CYBR",161.79,159.68,162.43,161.59
"27",0,0,"Dec 31, 19",192806,115.19,117.17,116.58,115.43,192806,115.19,117.17,116.58,115.43,0,0,1647302657300.61,2019-12-31,NA,"CYBR","HISTORICAL_PRICES",192806,"CYBR",115.43,115.19,117.17,116.58
"28",0,0,"Dec 31, 18",368097,73.01,74.79,74.14,74.42,368097,73.01,74.79,74.14,74.42,0,0,1647302657300.61,2018-12-31,NA,"CYBR","HISTORICAL_PRICES",368097,"CYBR",74.42,73.01,74.79,74.14
"29",0,0,"Jan 2, 18",400670,41.351,42.08,41.59,41.6,400670,41.351,42.08,41.59,41.6,0,0,1647302657305.46,2018-01-02,NA,"CYBR","HISTORICAL_PRICES",400670,"CYBR",41.6,41.351,42.08,41.59
"30",0,0,"Dec 31, 21",67132,44.0521,48.19,46.5,44.205,67132,44.0521,48.19,46.5,44.205,0,0,1647302657300.61,2021-12-31,NA,"CYBE","HISTORICAL_PRICES",67132,"CYBE",44.205,44.0521,48.19,46.5
"31",0,0,"Dec 31, 20",427800,20.81,22.94,22.69,21.36,427800,20.81,22.94,22.69,21.36,0,0,1647302657299.42,2020-12-31,NA,"CYBE","HISTORICAL_PRICES",427800,"CYBE",21.36,20.81,22.94,22.69
"32",0,0,"Dec 31, 19",73120,18,18.51,18.38,18.29,73120,18,18.51,18.38,18.29,0,0,1647302657300.21,2019-12-31,NA,"CYBE","HISTORICAL_PRICES",73120,"CYBE",18.29,18,18.51,18.38
"33",0,0,"Dec 31, 18",56533,17.0208,17.86,17.63,17.33,56533,17.0208,17.86,17.63,17.33,0,0,1647302657303.09,2018-12-31,NA,"CYBE","HISTORICAL_PRICES",56533,"CYBE",17.33,17.0208,17.86,17.63
"34",0,0,"Jan 2, 18",105762,15,15.95,15.95,15,105762,15,15.95,15.95,15,0,0,1647302657300.21,2018-01-02,NA,"CYBE","HISTORICAL_PRICES",105762,"CYBE",15,15,15.95,15.95
"35",0,0,"Dec 31, 21",137745,84.38,85.97,85.42,84.69,137745,84.38,85.97,85.42,84.69,0,0,1647302657310.58,2021-12-31,NA,"CWST","HISTORICAL_PRICES",137745,"CWST",84.69,84.38,85.97,85.42
"36",0,0,"Dec 31, 20",263292,60.51,62.15,61.95,61.2,263292,60.51,62.15,61.95,61.2,0,0,1647302657296.88,2020-12-31,NA,"CWST","HISTORICAL_PRICES",263292,"CWST",61.2,60.51,62.15,61.95
"37",0,0,"Dec 31, 19",194593,45.44,46.16,46.03,45.75,194593,45.44,46.16,46.03,45.75,0,0,1647302657296.13,2019-12-31,NA,"CWST","HISTORICAL_PRICES",194593,"CWST",45.75,45.44,46.16,46.03
"38",0,0,"Dec 31, 18",270252,27.82,28.78,28.49,28.22,270252,27.82,28.78,28.49,28.22,0,0,1647302657294.81,2018-12-31,NA,"CWST","HISTORICAL_PRICES",270252,"CWST",28.22,27.82,28.78,28.49
