"","companyName","marketcap","week52high","week52low","week52highSplitAdjustOnly","week52lowSplitAdjustOnly","week52change","sharesOutstanding","float","avg10Volume","avg30Volume","day200MovingAvg","day50MovingAvg","employees","ttmEPS","ttmDividendRate","dividendYield","nextDividendDate","exDividendDate","nextEarningsDate","peRatio","beta","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","symbol"
"5634","Dropbox Inc",6722498862,33,19.9,33,19.9,-0.127831094049904,295884633,0,2494489,3101175,25.17,22.38,2760,0.8484,0,0,NA,NA,2022-05-05,20.0193533703395,1.23823649920279,-0.202247191011236,-0.202247191011236,0.258028792912514,-0.158206743238236,-0.0741646291768542,-0.202247191011236,-0.0661734484175914,0.116461916461916,0.116461916461916,-0.0592132505175983,"DBX"
"5633","Dropbox Inc",6722498862,33,19.9,33,19.9,-0.127831094049904,295884633,0,2494489,3101175,25.17,22.38,2760,0.8484,0,0,NA,NA,2022-05-05,20.0193533703395,1.23823649920279,-0.202247191011236,-0.202247191011236,0.258028792912514,-0.158206743238236,-0.0741646291768542,-0.202247191011236,-0.0661734484175914,0.116461916461916,0.116461916461916,-0.0592132505175983,"DBX"
"5632","Dropbox Inc",6722498862,33,19.9,33,19.9,-0.127831094049904,295884633,0,2494489,3101175,25.17,22.38,2760,0.8484,0,0,NA,NA,2022-05-05,20.0193533703395,1.23823649920279,-0.202247191011236,-0.202247191011236,0.258028792912514,-0.158206743238236,-0.0741646291768542,-0.202247191011236,-0.0661734484175914,0.116461916461916,0.116461916461916,-0.0592132505175983,"DBX"
"5631","Dropbox Inc",6722498862,33,19.9,33,19.9,-0.127831094049904,295884633,0,2494489,3101175,25.17,22.38,2760,0.8484,0,0,NA,NA,2022-05-05,20.0193533703395,1.23823649920279,-0.202247191011236,-0.202247191011236,0.258028792912514,-0.158206743238236,-0.0741646291768542,-0.202247191011236,-0.0661734484175914,0.116461916461916,0.116461916461916,-0.0592132505175983,"DBX"
"5630","Daktronics Inc.",166861530,7.23,3.65,7.23,3.65,-0.41838351822504,45466357,0,287238,271887,4.89,4.15,2533,0.0432,0,0,NA,NA,2022-06-08,84.8736165768057,0.785886495700108,-0.856138232734628,-0.559899268497422,-0.232217573221757,-0.424764890282132,-0.273267326732673,-0.341113105924596,-0.268924302788845,-0.119904076738609,-0.119904076738609,-0.0492227979274611,"DAKT"
"5629","Daktronics Inc.",166861530,7.23,3.65,7.23,3.65,-0.41838351822504,45466357,0,287238,271887,4.89,4.15,2533,0.0432,0,0,NA,NA,2022-06-08,84.8736165768057,0.785886495700108,-0.856138232734628,-0.559899268497422,-0.232217573221757,-0.424764890282132,-0.273267326732673,-0.341113105924596,-0.268924302788845,-0.119904076738609,-0.119904076738609,-0.0492227979274611,"DAKT"
"5628","Daktronics Inc.",166861530,7.23,3.65,7.23,3.65,-0.41838351822504,45466357,0,287238,271887,4.89,4.15,2533,0.0432,0,0,NA,NA,2022-06-08,84.8736165768057,0.785886495700108,-0.856138232734628,-0.559899268497422,-0.232217573221757,-0.424764890282132,-0.273267326732673,-0.341113105924596,-0.268924302788845,-0.119904076738609,-0.119904076738609,-0.0492227979274611,"DAKT"
"5627","Daktronics Inc.",166861530,7.23,3.65,7.23,3.65,-0.41838351822504,45466357,0,287238,271887,4.89,4.15,2533,0.0432,0,0,NA,NA,2022-06-08,84.8736165768057,0.785886495700108,-0.856138232734628,-0.559899268497422,-0.232217573221757,-0.424764890282132,-0.273267326732673,-0.341113105924596,-0.268924302788845,-0.119904076738609,-0.119904076738609,-0.0492227979274611,"DAKT"
"5626","Daktronics Inc.",166861530,7.23,3.65,7.23,3.65,-0.41838351822504,45466357,0,287238,271887,4.89,4.15,2533,0.0432,0,0,NA,NA,2022-06-08,84.8736165768057,0.785886495700108,-0.856138232734628,-0.559899268497422,-0.232217573221757,-0.424764890282132,-0.273267326732673,-0.341113105924596,-0.268924302788845,-0.119904076738609,-0.119904076738609,-0.0492227979274611,"DAKT"
"5625","Caesars Entertainment Inc",14684586270,119.81,67.22,119.81,67.22,-0.272977843740062,214123451,0,2716159,2289335,90.8,77.6,2020,-4.83,0,0,NA,NA,2022-05-03,-14.4107814225515,1.96204002261669,15.0985915492958,2.49897959183673,2.78685808945334,-0.288072251635005,-0.266759328557682,-0.402457088089222,-0.237830629028673,-0.0832776366795883,-0.0832776366795883,-0.150080555211302,"CZR"
"5624","Caesars Entertainment Inc",14684586270,119.81,67.22,119.81,67.22,-0.272977843740062,214123451,0,2716159,2289335,90.8,77.6,2020,-4.83,0,0,NA,NA,2022-05-03,-14.4107814225515,1.96204002261669,15.0985915492958,2.49897959183673,2.78685808945334,-0.288072251635005,-0.266759328557682,-0.402457088089222,-0.237830629028673,-0.0832776366795883,-0.0832776366795883,-0.150080555211302,"CZR"
"5623","Caesars Entertainment Inc",14684586270,119.81,67.22,119.81,67.22,-0.272977843740062,214123451,0,2716159,2289335,90.8,77.6,2020,-4.83,0,0,NA,NA,2022-05-03,-14.4107814225515,1.96204002261669,15.0985915492958,2.49897959183673,2.78685808945334,-0.288072251635005,-0.266759328557682,-0.402457088089222,-0.237830629028673,-0.0832776366795883,-0.0832776366795883,-0.150080555211302,"CZR"
"5622","Caesars Entertainment Inc",14684586270,119.81,67.22,119.81,67.22,-0.272977843740062,214123451,0,2716159,2289335,90.8,77.6,2020,-4.83,0,0,NA,NA,2022-05-03,-14.4107814225515,1.96204002261669,15.0985915492958,2.49897959183673,2.78685808945334,-0.288072251635005,-0.266759328557682,-0.402457088089222,-0.237830629028673,-0.0832776366795883,-0.0832776366795883,-0.150080555211302,"CZR"
"5621","Caesars Entertainment Inc",14684586270,119.81,67.22,119.81,67.22,-0.272977843740062,214123451,0,2716159,2289335,90.8,77.6,2020,-4.83,0,0,NA,NA,2022-05-03,-14.4107814225515,1.96204002261669,15.0985915492958,2.49897959183673,2.78685808945334,-0.288072251635005,-0.266759328557682,-0.402457088089222,-0.237830629028673,-0.0832776366795883,-0.0832776366795883,-0.150080555211302,"CZR"
